sid,name,licence,access,date,creator,curators,substances,reference_pmid,reference_title,reference_date
PKDB00954,Rosenkranz1996a,closed,public,2024-12-13,mii-halina,"['mii-halina', 'mkoenig']","['creatinine', 'glimepiride', 'hydroxyglimepiride (M1)', 'carboxyglimepiride (M2)']",8960852,Pharmacokinetics and safety of glimepiride at clinically effective doses in diabetic patients with renal impairment.,1997-03-28
PKDB00955,Shukla2004,closed,public,2024-12-13,mii-halina,"['mii-halina', 'mkoenig']","['glimepiride', 'hydroxyglimepiride (M1)', 'carboxyglimepiride (M2)']",14742789,Glimepiride pharmacokinetics in obese versus non-obese diabetic patients.,2004-03-15
PKDB00956,Suzuki2006,closed,public,2024-12-13,mii-halina,"['mii-halina', 'mkoenig']","['glimepiride', 'D-glucose', 'insulin']",16325295,Effect of CYP2C9 genetic polymorphisms on the efficacy and pharmacokinetics of glimepiride in subjects with type 2 diabetes.,2007-10-04
PKDB00957,Wang2005,closed,public,2024-12-13,mii-halina,"['mii-halina', 'mkoenig']",['glimepiride'],16003298,Pharmacokinetics of glimepiride and cytochrome P450 2C9 genetic polymorphisms.,2005-08-18
PKDB00958,Yoo2011,closed,public,2024-12-13,mii-halina,"['mii-halina', 'mkoenig']",['glimepiride'],21476064,Population pharmacokinetic analysis of glimepiride with CYP2C9 genetic polymorphism in healthy Korean subjects.,2011-12-20
PKDB00181,Allonen1981,closed,public,2019-09-26,yduport,"['yduport', 'mkoenig']",['midazolam'],6117393,Midazolam kinetics.,1982-01-28
PKDB00228,Backman1998,closed,public,2019-10-31,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam', 'rifampicin', 'itraconazole']",9591931,The area under the plasma concentration-time curve for oral midazolam is 400-fold larger during treatment with itraconazole than with rifampicin.,1998-06-11
PKDB00251,Bornemann1985,closed,public,2019-11-04,yduport,"['yduport', 'mkoenig']","['midazolam', '1-hydroxymidazolam']",2932334,Dose dependent pharmacokinetics of midazolam.,1985-12-13
PKDB00326,Chaobal2005,closed,public,2020-07-19,yduport,"['yduport', 'mkoenig']","['grapefruit juice', 'midazolam', 'rifampicin', 'alfentanil', 'troleandomycin']",16321619,"Single-point sampling for assessment of constitutive, induced, and inhibited cytochrome P450 3A activity with alfentanil or midazolam.",2005-12-20
PKDB00308,Dyk2019,closed,public,2020-06-30,yduport,"['yduport', 'mkoenig']","['midazolam', 'rifampicin', 'clarithromycin']",31611799,Validation of a 3-h Sampling Interval to Assess Variability in Cytochrome P450 3A Phenotype and the Impact of Induction and Mechanism-Based Inhibition Using Midazolam as a Probe Substrate.,2019-09-27
